ORDER NUMBER,QUANTITY ORDERED,PRICE EACH,SALES,ORDER LINE NUMBER,ORDER DATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,MONTH-YEAR,PRODUCT LINE,MSRP,PRODUCT CODE,CUSTOMER NAME,PHONE,ADDRESS LINE1,ADDRESS LINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACT LAST NAME,CONTACT FIRST NAME,DEALSIZE
10341,41,$100.00,"$4,100.00",9,11/24/2004,Shipped,4,11,2004,2004-11,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10361,20,$72.55,"$1,451.00",13,12/17/2004,Shipped,4,12,2004,2004-12,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375,21,$34.91,$733.11,12,02-03-2005,Shipped,1,2,2005,2005-02,Motorcycles,95,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10388,42,$76.36,"$3,207.12",4,03-03-2005,Shipped,1,3,2005,2005-03,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403,24,$100.00,"$2,400.00",7,04-08-2005,Shipped,2,4,2005,2005-04,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417,66,$100.00,"$6,600.00",2,5/13/2005,Disputed,2,5,2005,2005-05,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10103,26,$100.00,"$2,600.00",11,1/29/2003,Shipped,1,1,2003,2003-01,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112,29,$100.00,"$2,900.00",1,3/24/2003,Shipped,1,3,2003,2003-03,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv?gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126,38,$100.00,"$3,800.00",11,5/28/2003,Shipped,2,5,2003,2003-05,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart?,Large
10140,37,$100.00,"$3,700.00",11,7/24/2003,Shipped,3,7,2003,2003-07,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large
10150,45,$100.00,"$4,500.00",8,9/19/2003,Shipped,3,9,2003,2003-09,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10163,21,$100.00,"$2,100.00",1,10/20/2003,Shipped,4,10,2003,2003-10,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium
10174,34,$100.00,"$3,400.00",4,11-06-2003,Shipped,4,11,2003,2003-11,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183,23,$100.00,"$2,300.00",8,11/13/2003,Shipped,4,11,2003,2003-11,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194,42,$100.00,"$4,200.00",11,11/25/2003,Shipped,4,11,2003,2003-11,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10206,47,$100.00,"$4,700.00",6,12-05-2003,Shipped,4,12,2003,2003-12,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
10215,35,$100.00,"$3,500.00",3,1/29/2004,Shipped,1,1,2004,2004-01,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium
10228,29,$100.00,"$2,900.00",2,03-10-2004,Shipped,1,3,2004,2004-03,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium
10245,34,$100.00,"$3,400.00",9,05-04-2004,Shipped,2,5,2004,2004-05,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10258,32,$100.00,"$3,200.00",6,6/15/2004,Shipped,2,6,2004,2004-06,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270,21,$100.00,"$2,100.00",9,7/19/2004,Shipped,3,7,2004,2004-07,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280,34,$100.00,"$3,400.00",2,8/17/2004,Shipped,3,8,2004,2004-08,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10291,37,$100.00,"$3,700.00",11,09-08-2004,Shipped,3,9,2004,2004-09,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304,47,$100.00,"$4,700.00",6,10-11-2004,Shipped,4,10,2004,2004-10,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
10312,48,$100.00,"$4,800.00",3,10/21/2004,Shipped,4,10,2004,2004-10,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10322,40,$100.00,"$4,000.00",1,11-04-2004,Shipped,4,11,2004,2004-11,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10333,26,$100.00,"$2,600.00",3,11/18/2004,Shipped,4,11,2004,2004-11,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10347,30,$100.00,"$3,000.00",1,11/29/2004,Shipped,4,11,2004,2004-11,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357,32,$100.00,"$3,200.00",10,12-10-2004,Shipped,4,12,2004,2004-12,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10369,41,$100.00,"$4,100.00",2,1/20/2005,Shipped,1,1,2005,2005-01,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium
10381,36,$100.00,"$3,600.00",3,2/17/2005,Shipped,1,2,2005,2005-02,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10391,24,$100.00,"$2,400.00",4,03-09-2005,Shipped,1,3,2005,2005-03,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411,23,$100.00,"$2,300.00",9,05-01-2005,Shipped,2,5,2005,2005-05,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424,50,$100.00,"$5,000.00",6,5/31/2005,In Process,2,5,2005,2005-05,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10107,39,$99.91,"$3,896.49",5,2/24/2003,Shipped,1,2,2003,2003-02,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,29,$96.34,"$2,793.86",3,4/29/2003,Shipped,2,4,2003,2003-04,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134,27,$100.00,"$2,700.00",5,07-01-2003,Shipped,3,7,2003,2003-07,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,37,$100.00,"$3,700.00",9,8/25/2003,Shipped,3,8,2003,2003-08,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,37,$100.00,"$3,700.00",17,10-10-2003,Shipped,4,10,2003,2003-10,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,27,$100.00,"$2,700.00",4,10/28/2003,Shipped,4,10,2003,2003-10,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,42,$100.00,"$4,200.00",12,11-11-2003,Shipped,4,11,2003,2003-11,Motorcycles,118,S10_2016,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium
10188,38,$96.34,"$3,660.92",4,11/18/2003,Shipped,4,11,2003,2003-11,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,24,$100.00,"$2,400.00",5,12-01-2003,Shipped,4,12,2003,2003-12,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10210,23,$100.00,"$2,300.00",2,01-12-2004,Shipped,1,1,2004,2004-01,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,47,$100.00,"$4,700.00",4,2/20/2004,Shipped,1,2,2004,2004-02,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236,22,$100.00,"$2,200.00",1,04-03-2004,Shipped,2,4,2004,2004-04,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10251,44,$100.00,"$4,400.00",5,5/18/2004,Shipped,2,5,2004,2004-05,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,40,$100.00,"$4,000.00",5,6/28/2004,Shipped,2,6,2004,2004-06,Motorcycles,118,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,22,$100.00,"$2,200.00",4,7/23/2004,Shipped,3,7,2004,2004-07,Motorcycles,118,S10_2016,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10285,47,$100.00,"$4,700.00",9,8/27/2004,Shipped,3,8,2004,2004-08,Motorcycles,118,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10298,39,$96.34,"$3,757.26",1,9/27/2004,Shipped,3,9,2004,2004-09,Motorcycles,118,S10_2016,Atelier graphique,40322555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
10308,34,$100.00,"$3,400.00",2,10/15/2004,Shipped,4,10,2004,2004-10,Motorcycles,118,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,45,$100.00,"$4,500.00",4,11-02-2004,Shipped,4,11,2004,2004-11,Motorcycles,118,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,20,$100.00,"$2,000.00",2,11/15/2004,Shipped,4,11,2004,2004-11,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,40,$68.92,"$2,756.80",4,11/23/2004,Shipped,4,11,2004,2004-11,Motorcycles,118,S10_2016,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10361,26,$51.15,"$1,329.90",8,12/17/2004,Shipped,4,12,2004,2004-12,Motorcycles,118,S10_2016,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10374,39,$100.00,"$3,900.00",5,02-02-2005,Shipped,1,2,2005,2005-02,Motorcycles,118,S10_2016,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,50,$44.51,"$2,225.50",5,03-03-2005,Shipped,1,3,2005,2005-03,Motorcycles,118,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10402,45,$100.00,"$4,500.00",1,04-07-2005,Shipped,2,4,2005,2005-04,Motorcycles,118,S10_2016,Auto Canal Petit,(1) 47556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10417,45,$100.00,"$4,500.00",5,5/13/2005,Disputed,2,5,2005,2005-05,Motorcycles,118,S10_2016,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium
10107,27,$100.00,"$2,700.00",4,2/24/2003,Shipped,1,2,2003,2003-02,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120,46,$100.00,"$4,600.00",2,4/29/2003,Shipped,2,4,2003,2003-04,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10134,31,$100.00,"$3,100.00",4,07-01-2003,Shipped,3,7,2003,2003-07,Motorcycles,193,S10_4698,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large
10145,33,$100.00,"$3,300.00",8,8/25/2003,Shipped,3,8,2003,2003-08,Motorcycles,193,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,22,$100.00,"$2,200.00",16,10-10-2003,Shipped,4,10,2003,2003-10,Motorcycles,193,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,20,$100.00,"$2,000.00",3,10/28/2003,Shipped,4,10,2003,2003-10,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,41,$100.00,"$4,100.00",11,11-11-2003,Shipped,4,11,2003,2003-11,Motorcycles,193,S10_4698,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large
10188,45,$100.00,"$4,500.00",3,11/18/2003,Shipped,4,11,2003,2003-11,Motorcycles,193,S10_4698,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large
10201,49,$100.00,"$4,900.00",4,12-01-2003,Shipped,4,12,2003,2003-12,Motorcycles,193,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Large
10210,34,$100.00,"$3,400.00",1,01-12-2004,Shipped,1,1,2004,2004-01,Motorcycles,193,S10_4698,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223,49,$100.00,"$4,900.00",3,2/20/2004,Shipped,1,2,2004,2004-02,Motorcycles,193,S10_4698,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large
10237,39,$100.00,"$3,900.00",9,04-05-2004,Shipped,2,4,2004,2004-04,Motorcycles,193,S10_4698,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Large
10251,43,$100.00,"$4,300.00",4,5/18/2004,Shipped,2,5,2004,2004-05,Motorcycles,193,S10_4698,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Large
10263,41,$100.00,"$4,100.00",4,6/28/2004,Shipped,2,6,2004,2004-06,Motorcycles,193,S10_4698,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Large
10275,36,$100.00,"$3,600.00",3,7/23/2004,Shipped,3,7,2004,2004-07,Motorcycles,193,S10_4698,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,27,$100.00,"$2,700.00",8,8/27/2004,Shipped,3,8,2004,2004-08,Motorcycles,193,S10_4698,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,29,$100.00,"$2,900.00",11,9/30/2004,Shipped,3,9,2004,2004-09,Motorcycles,193,S10_4698,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium
10308,20,$100.00,"$2,000.00",1,10/15/2004,Shipped,4,10,2004,2004-10,Motorcycles,193,S10_4698,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318,37,$100.00,"$3,700.00",3,11-02-2004,Shipped,4,11,2004,2004-11,Motorcycles,193,S10_4698,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Large
10329,26,$100.00,"$2,600.00",3,11/15/2004,Shipped,4,11,2004,2004-11,Motorcycles,193,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10339,39,$76.67,"$2,990.13",3,11/23/2004,Shipped,4,11,2004,2004-11,Motorcycles,193,S10_4698,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small
10362,22,$100.00,"$2,200.00",4,01-05-2005,Shipped,1,1,2005,2005-01,Motorcycles,193,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10374,22,$100.00,"$2,200.00",1,02-02-2005,Shipped,1,2,2005,2005-02,Motorcycles,193,S10_4698,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium
10388,21,$86.77,"$1,822.17",7,03-03-2005,Shipped,1,3,2005,2005-03,Motorcycles,193,S10_4698,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Small
10403,66,$100.00,"$6,600.00",9,04-08-2005,Shipped,2,4,2005,2005-04,Motorcycles,193,S10_4698,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large
10417,56,$100.00,"$5,600.00",4,5/13/2005,Disputed,2,5,2005,2005-05,Motorcycles,193,S10_4698,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10105,50,$100.00,"$5,000.00",2,02-11-2003,Shipped,1,2,2003,2003-02,Classic Cars,136,S10_4757,Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large
10119,46,$100.00,"$4,600.00",11,4/28/2003,Shipped,2,4,2003,2003-04,Classic Cars,136,S10_4757,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium
10129,33,$100.00,"$3,300.00",2,06-12-2003,Shipped,2,6,2003,2003-06,Classic Cars,136,S10_4757,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium
10143,49,$100.00,"$4,900.00",15,08-10-2003,Shipped,3,8,2003,2003-08,Classic Cars,136,S10_4757,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C,Medium
